"","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","torque","rpm","brand","car_type","age"
"1",2014,450,145.5,"Diesel","Individual","Manual","First Owner",23.4,1248,74,5,190,2000,"Maruti","Small",7
"2",2014,370,120,"Diesel","Individual","Manual","Second Owner",21.14,1498,103.52,5,250,2500,"Skoda","Small",7
"3",2006,158,140,"Petrol","Individual","Manual","Third Owner",17.7,1497,78,5,12,2700,"Honda","Small",15
"4",2010,225,127,"Diesel","Individual","Manual","First Owner",23,1396,90,5,22,2750,"Hyundai","Small",11
"5",2007,130,120,"Petrol","Individual","Manual","First Owner",16.1,1298,88.2,5,11,4500,"Maruti","Small",14
"6",2017,440,45,"Petrol","Individual","Manual","First Owner",20.14,1197,81.86,5,113,4000,"Hyundai","Small",4
"7",2001,45,5,"Petrol","Individual","Manual","Second Owner",16.1,796,37,4,59,2500,"Maruti","Small",20
"8",2011,350,90,"Diesel","Individual","Manual","First Owner",23.59,1364,67.1,5,170,2400,"Toyota","Small",10
"9",2013,200,169,"Diesel","Individual","Manual","First Owner",20,1399,68.1,5,160,2000,"Ford","Small",8
"10",2014,500,68,"Diesel","Individual","Manual","Second Owner",19.01,1461,108.45,5,248,2250,"Renault","Small",7
"11",2005,92,100,"Petrol","Individual","Manual","Second Owner",17.3,993,60,5,78,4500,"Maruti","Small",16
"12",2009,280,140,"Diesel","Individual","Manual","Second Owner",19.3,1248,73.9,5,190,2000,"Maruti","Small",12
"13",2007,200,80,"Petrol","Individual","Manual","Second Owner",17.1605,1295.1,69.8125,5.4,97,3050,"Maruti","Medium",14
"14",2009,180,90,"Petrol","Individual","Manual","Second Owner",18.9,1061,67,5,84,3500,"Maruti","Small",12
"15",2016,400,40,"Petrol","Individual","Manual","First Owner",18.15,1198,82,5,115,3600,"Mahindra","Small",5
"16",2016,778,70,"Diesel","Individual","Manual","Second Owner",24.52,1248,88.5,7,200,1750,"Maruti","Medium",5
"17",2012,500,53,"Diesel","Individual","Manual","Second Owner",23,1396,90,5,22,2750,"Hyundai","Small",9
"18",2002,150,80,"Petrol","Individual","Manual","Second Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",19
"19",2016,680,100,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,219,2750,"Hyundai","Small",5
"20",2011,174,100,"Diesel","Individual","Manual","Second Owner",21,1461,64.1,5,160,2000,"Mahindra","Small",10
"21",2017,950,50,"Diesel","Individual","Manual","First Owner",25.5,1498,98.6,5,200,1750,"Honda","Small",4
"22",2015,525,40,"Diesel","Individual","Manual","First Owner",26.59,1248,74,5,190,2000,"Maruti","Small",6
"23",2012,600,72,"Diesel","Individual","Manual","First Owner",21.5,1248,88.8,5,200,1750,"Maruti","Small",9
"24",2018,500,35,"Petrol","Individual","Manual","First Owner",20.3,1199,83.81,5,114,3500,"Tata","Small",3
"25",2016,575,45,"Petrol","Individual","Manual","First Owner",21.4,1197,83.1,5,115,4000,"Maruti","Small",5
"26",2017,275,28,"Petrol","Individual","Manual","First Owner",24.7,796,47.3,5,69,3500,"Maruti","Small",4
"27",2013,300,70,"Diesel","Individual","Manual","First Owner",18.2,1248,73.8,7,172,1750,"Chevrolet","Medium",8
"28",2009,220,120,"Petrol","Individual","Manual","First Owner",18.9,1061,67,5,84,3500,"Maruti","Small",12
"29",2018,255,25,"Petrol","Individual","Manual","First Owner",16.8,796,34.2,8,59,2500,"Maruti","Medium",3
"30",2017,670,70,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",4
"31",2003,70,50,"Petrol","Individual","Manual","Second Owner",16.62,906.25,47.69,4.35,64.55,2800,"Fiat","Small",18
"32",2012,150,35,"Petrol","Individual","Manual","Second Owner",14,796,35,5,6,3000,"Maruti","Small",9
"33",2018,730,2.39,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,114,4000,"Hyundai","Small",3
